NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
BookmarkTitle,1.12,0,0,0,1,1,1,2,1,2,1,0,0,77,0,0,2,4,0,8,0,0,9,0.2
GSUBLookupType,6.33,0,0,1,0,0,0,0,0,0,0,0,0,78,0,0,8,0,0,3,0,0,19,0.2
ArabicScriptProcessor,4.35,0,5,1,5,0,0,0,1,2,8,0,0,532,0,0,7,4,0,26,0,0,113,0.2
DefaultScriptProcessor,3.29,0,1,1,2,0,0,2.5,1,1,6,0,0,123,0,0,2,4,7,7,0,0,23,0.2
ImageWMF,1,0,0,1,0,1,1,0,0,1,0,0,0,39,0,0,3,2,0,4,0,0,4,0.2
ListItemPosition,1,0,2,1,0,1,3,2,1,1,0,0,0,64,0,0,6,8,0,11,0,0,11,0.2
FoUnitsConverter,2.5,0,0,1,1,2,3,0,1,0,1,0,0,111,0,0,6,0,0,6,0,0,15,0.2
RtfParagraphKeepTogether,1.5,0,2,0.33,0,0,0,0,0,2,0,0,0,58,0,0,4,1,0,4,0,0,6,0.2
BorderManager,1.55,0,0,1,4,1,5,2,2,0,6,0,0,138,0,0,6,8,0,11,0,0.02,17,0.2
RunTest,1.89,0,0,1,0,0,0,2,0,1,0,0,0,199,0,0,4,4,0,9,0,0,17,0.2
AbstractPageNumberCitation,1.26,5,0,0,4,4,9,2.5,7,2,11,1,1000,166,0,0,12,13,2,19,0,0,24,0.19
Shading,1.82,3,0,1,3,5,9,2,2,0,3,3,0,237,0,0,10,9,0,17,0,0.01,31,0.18
ExternalDocument,1.11,4,0,0,3,1,1,2.5,2,3,7,1,1000,162,0,0,11,14,0,19,0,0,21,0.18
BidiTestData,1.5,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,5,0,0,2,0,1,3,0.17
ColorProfile,1.12,2,1,0,2,3,4,2,0,2,3,1,0,79,0,0,3,5,0,8,0,0,9,0.17
CommonAbsolutePosition,1,2,0,1,3,0,0,2,1,0,8,1,0,56,0,0,5,0,0,2,5,1,2,0.17
GraphicsSetLineType,1,0,0,1,0,0,0,0,1,2,0,0,0,70,1,0,11,2,0,5,0,0,5,0.17
AFPFontAttributes,1,0,0,1,0,4,4,2,1,0,0,0,0,80,0,0,4,5,0,7,0,0,7,0.17
FontControl,0.86,0,0,1,0,1,2,2,0,0,0,0,0,31,0,0,3,5,0,7,0,0,6,0.17
RelSide,1,0,0,1,0,1,1,0,1,0,0,0,0,32,0,0,5,1,0,3,0,0,3,0.17
AbstractOffDocumentItem,0.5,0,0,1,0,1,2,0,0,0,0,0,0,44,0,0,5,1,2,2,0,0,1,0.17
KeepValue,1,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,5,2,0,4,0,0,4,0.17
MappingRange,1.75,0,0,1,1,1,1,2,0,0,1,0,0,72,0,0,3,5,0,8,0,0,14,0.17
OFMtxEntry,1.05,0,0,1,1,7,24,2,0,0,1,0,0,169,0,0,8,15,0,19,0,0,20,0.17
RtfList,1.14,0,0,0,4,5,8,2,3,2,4,0,0,80,1,0,7,5,0,7,0,0,8,0.17
RtfListTable,1.5,6,2,0.33,4,2,2,0,3,2,6,4,1000,182,2,0,22,0,0,6,0,0.1,9,0.17
Block,1.21,6,1,0,6,10,25,2.5,10,3,17,1,1000,316,2,0,33,31,0,39,0,0,47,0.16
Character,1.08,6,0,0,5,5,9,2.5,9,2,14,1,1000,235,0,0,18,19,0,26,0,0,28,0.16
CharacterSetOrientation,1.13,2,0,1,1,2,14,2,0,0,2,1,0,277,0,0,11,16,0,23,0,0,26,0.16
PDFGState,1.75,0,2,0.25,0,5,6,0,1,1,0,0,0,175,4,0,30,0,0,8,0,0.33,14,0.15
PDFInfo,1.62,8,1,0.5,3,11,17,2,0,1,8,3,0,292,2,0,10,17,0,24,0,0,39,0.15
InternalElementMapping,1.5,0,2,0.33,0,0,0,0,0,1,0,0,0,55,0,0,6,1,0,4,0,0,6,0.14
BidiOverride,2,1,2,1,3,0,0,2,1,5,3,1,0,91,0,0,4,6,0,9,0,0,18,0.14
ConditionalBorder,3,2,0,1,4,2,6,2,2,0,5,2,0,171,0,0,7,0,0,8,3,0.4,24,0.14
BorderPaintingInfo,1,0,0,1,0,1,1,2,0,0,0,0,0,95,1,0,7,6,0,8,0,0,8,0.14
DTDEntityResolver,4.5,0,0,1,1,0,0,0,0,0,1,0,0,84,0,0,6,0,0,2,0,0,9,0.14
HintTable,1.33,1,1,0.33,3,0,0,2,3,3,5,1,0,112,0,0,7,0,0,6,6,0,8,0.14
LookupFlag,6.5,0,0,1,0,0,0,0,0,0,0,0,0,58,0,0,6,0,0,2,0,1,13,0.14
DICTEntry,0.93,0,0,1,0,7,32,2,5,0,0,0,0,65,0,0,7,12,0,15,0,0,14,0.14
Function,1.67,0,0,1,3,5,15,0.5,6,0,3,0,0,404,0,0,13,12,0,27,0,0,45,0.14
Java2DInfo,0.5,0,0,1,0,0,0,2,1,0,0,0,0,25,0,0,6,0,0,2,6,1,1,0.14
PDFReferenceExtension,1,0,0,1,0,4,4,2,0,2,0,0,0,38,0,0,3,5,0,7,0,0,7,0.14
TestFilesConfiguration,1,1,0,1,1,2,3,2,0,0,1,1,0,178,0,0,7,6,0,8,0,0,8,0.14
ProducerContext,1,0,0,1,0,4,5,2,0,0,0,0,0,62,0,0,4,6,0,8,0,0,8,0.14
RtfText,2.5,0,0,0.38,3,2,4,0,1,1,4,0,0,287,5,0,50,3,0,12,0,0.27,30,0.14
WritingModeTraits,1.12,1,0,1,2,4,28,2,2,0,2,1,0,141,1,0,7,13,0,17,0,0,19,0.13
Value,3.42,0,0,1,1,3,3,2,1,0,1,0,0,242,0,0,20,8,0,12,0,0,41,0.13
Fop,1.39,3,0,1,1,1,5,2,0,1,3,1,0,312,0,0,15,27,0,31,0,0,43,0.13
ResourceObject,1.12,0,1,0.2,4,3,3,0,1,4,5,0,0,119,1,0,13,2,1,8,0,0.05,9,0.12
AbstractFOPTranscoder,1.5,1,0,1,2,3,4,2,1,1,3,1,0,335,0,0,10,5,4,14,0,0,21,0.12
