NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
ChecksummedRandomAccessReader,1,0,0,1,5,0,0,0,0,0,5,0,0,21,0,0,0,0,1,0,1,1,1,
ChecksummedRebufferer,1.25,5,1,0.75,4,0,0,0,0,1,5,4,0,52,0,0,1,0,4,0,0.67,5,1,
RebuffererFactory,0,0,0,1,0,1,1,0,0,0,0,0,0,4,1,0,0,6,1,0,1,0,1,
Standard,5.5,4,0,1,3,0,0,0.5,0,2,4,3,0,84,0,0,1,0,2,0,1,11,1,
Mmap,2,0,0,1,3,0,0,0,0,2,4,0,0,69,0,0,1,0,3,0,1,6,1,
DataInputBuffer,1.43,0,0,0.5,0,0,0,0,0,2,0,0,0,48,2,0,0,2,7,0,0,10,1,
GrowingChannel,0.75,1,0,1,2,0,0,0,0,0,2,1,0,20,0,0,0,0,4,0,0,3,1,
DataOutputBufferFixed,1,0,3,0.67,0,0,0,0,0,4,0,0,0,39,0,0,0,0,6,0,0,6,1,
RewindableDataInput,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,6,3,0,0,0,1,
LengthAvailableInputStream,1.2,0,0,1,0,0,0,0,0,2,0,0,0,71,0,0,1,0,10,0,0.28,12,1,
LimitingRebufferer,1.18,0,0,1,0,0,0,0,2,0,0,0,0,93,1,0,6,0,11,0,0.36,13,1,
MemoryInputStream,1.17,2,0,0.5,2,0,0,0,1,2,4,1,0,47,1,0,3,0,6,0,0.17,7,1,
MemoryOutputStream,1,0,0,1,1,0,0,0,1,1,2,0,0,23,0,0,2,0,3,0,1,3,1,
MmapRebufferer,1,1,2,0.33,1,0,0,0,0,1,1,1,0,43,0,0,1,0,6,0,0.1,6,1,
NIODataInputStream,1.6,0,0,0.5,0,1,1,0,0,2,0,0,0,53,2,0,1,0,5,0,0.5,8,1,
RandomAccessReaderWithOwnChannel,1,0,0,1,2,0,0,0,0,3,2,0,0,27,0,0,0,0,2,0,1,2,1,
RewindableDataInputStreamPlus,3.11,1,0,1,1,0,0,0,0,2,1,1,0,521,25,0,14,0,37,0,0.21,115,1,
SafeMemoryWriter,1.07,2,4,0.33,1,0,0,0,0,4,2,1,0,96,4,0,1,0,14,0,0.2,15,1,
Builder,1,0,0,1,1,0,0,0,0,0,1,0,0,51,0,0,5,0,7,0,0,7,1,
SimpleChunkReader,1,0,1,0.33,2,0,0,0,0,1,3,0,0,48,0,0,2,0,6,0,0.1,6,1,
SpinningDiskOptimizationStrategy,0.5,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,1,1,1,
SsdDiskOptimizationStrategy,1.5,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,1,0,2,0,1,3,1,
UnbufferedDataOutputStreamPlus,2.11,0,0,0.4,1,1,9,0.5,2,2,1,0,0,337,16,0,2,1,18,0,0,38,1,
WrappedDataOutputStreamPlus,1,0,0,1,0,1,2,0,0,3,0,0,0,39,2,0,1,0,6,0,1,6,1,
DiskOptimizationStrategyTest,1.8,0,0,1,2,0,0,0,0,0,2,0,0,115,0,0,0,0,5,0,0,9,1,
FakeChannel,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,3,1,
WrappedRunnable,0.33,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,4,3,0,0,1,1,
IFilter,0,0,0,1,0,1,1,0,0,0,0,0,0,26,6,0,0,2,7,0,0,0,1,
FilterKey,0,0,0,1,0,1,2,0,0,0,0,0,0,5,0,0,0,5,1,0,1,0,1,
OutputHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,3,4,0,0,0,1,
AlwaysPresentFilter,0.9,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,10,0,0,9,1,
AsymmetricOrdering,1,0,0,1,0,0,0,0,0,1,0,0,0,114,0,0,0,0,3,0,0,3,1,
BiLongAccumulator,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,
BiMultiValMap,1.06,0,0,1,0,0,0,0,0,0,0,0,0,110,0,0,2,0,18,0,0.64,19,1,
BloomFilterSerializer,1,7,0,1,4,0,0,0,0,0,7,4,0,35,0,0,0,0,4,0,0.33,4,1,
null,1,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,2,1,
TimeSource,0,0,0,1,0,1,1,0,0,0,0,0,0,37,0,0,0,1,4,0,0,0,1,
ConcurrentBiMap,1.47,0,0,1,0,0,0,0,0,0,0,0,0,96,0,0,2,0,15,0,0.62,22,1,
EstimatedHistogramSerializer,3.33,2,0,1,2,0,0,0.5,0,0,8,1,0,51,0,0,1,0,3,0,0,10,1,
FastByteOperations,1,0,0,1,2,0,0,0,0,0,9,0,0,484,0,0,0,0,10,0,1,10,1,
ByteOperations,0,0,0,1,0,2,11,0,0,0,0,0,0,19,0,0,0,2,8,0,0,0,1,
PureJavaOperations,2.67,0,0,1,0,1,3,0,0,0,0,0,0,107,0,0,0,0,9,0,0,24,1,
GuidGenerator,1.8,0,0,1,1,0,0,0,0,0,1,0,0,91,0,0,3,0,5,0,0,9,1,
IMergeIterator,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,1,
IteratorWithLowerBound,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,
JavaUtils,3.25,0,0,1,0,0,0,0,0,0,0,0,0,90,0,0,1,0,4,0,0,13,1,
LockedDynamicList,1,0,0,1,0,0,0,0,0,1,0,0,0,66,0,0,1,0,5,0,1,5,1,
LongAccumulator,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,
LongTimSort,9.82,0,0,1,1,0,0,3,3,0,1,0,0,812,0,0,11,0,17,0,0.01,167,1,
LongComparator,0,0,0,1,0,1,6,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,1,
MonotonicClockTranslation,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,3,0,0,0,1,
MurmurHash,4.09,0,0,1,0,0,0,0,0,0,0,0,0,320,0,0,0,0,11,0,0,45,1,
Mx4jTool,1.67,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,1,0,3,0,0,5,1,
NativeLibraryDarwin,0.56,0,0,1,0,0,0,0,0,0,0,0,0,87,0,0,2,0,18,0,0,10,1,
NativeLibraryWrapper,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,3,10,0,0,0,1,
NativeLibraryLinux,0.53,0,0,1,0,0,0,0,0,0,0,0,0,87,0,0,2,0,19,0,0,10,1,
NativeLibraryWindows,0.91,0,0,1,0,0,0,0,0,0,0,0,0,89,0,0,2,0,11,0,0,10,1,
ObjectSizes,1.31,0,0,1,0,0,0,0,0,0,0,0,0,135,0,0,3,0,13,0,0.01,17,1,
LogOutput,1,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,1,0,4,0,1,4,1,
ResourceWatcher,1,0,0,1,3,0,0,0,0,0,3,0,0,41,0,0,0,0,1,0,1,1,1,
WatchedResource,1.5,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,4,0,2,0,1,3,1,
RMIServerSocketFactoryImpl,1.5,0,0,1,0,0,0,0,0,0,0,0,0,44,0,0,1,0,4,0,0,6,1,
SortedBiMultiValMap,0.5,0,0,1,0,0,0,0,0,1,0,0,0,24,0,0,0,0,2,0,1,1,1,
StatusLogger,4,0,0,1,0,0,0,0.5,0,0,0,0,0,78,0,0,2,0,1,0,1,4,1,
SystemTimeSource,1,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,4,0,0,4,1,
WindowsTimer,1.4,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,1,0,5,0,0.17,7,1,
FreeRunningClock,1,0,0,1,0,2,2,0,0,0,0,0,0,49,0,0,1,0,8,0,0,8,1,
KillerForTests,1.17,0,0,1,0,2,5,0,0,1,0,0,0,41,0,0,3,0,6,0,0,7,1,
AbstractIteratorTest,2.1,2,0,1,2,0,0,0,0,0,2,2,0,362,0,0,0,0,10,0,0,21,1,
BytesReadTrackerTest,2.25,0,0,1,3,0,0,0,0,0,4,0,0,221,0,0,0,0,8,0,0,18,1,
EstimatedHistogramTest,2,1,0,1,1,0,0,0,0,0,14,1,0,155,0,0,0,0,7,0,0,14,1,
FastByteOperationsTest,1.77,0,0,1,3,0,0,0,2,0,8,0,0,137,0,0,7,0,13,0,0.09,23,1,
FixedMonotonicClock,1,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,1,0,6,0,0,6,1,
FakeMonotonicClockTranslation,1,0,0,1,0,0,0,0,1,0,0,0,0,19,0,0,1,0,3,0,0,3,1,
HexTest,2,0,0,1,1,0,0,0,0,0,2,0,0,40,0,0,0,0,2,0,0,4,1,
HistogramBuilderTest,2.33,2,0,1,2,0,0,0,0,0,6,1,0,84,0,0,0,0,6,0,0.67,14,1,
IntervalTreeTest,1,0,0,1,2,0,0,0,0,0,3,0,0,159,0,0,0,0,3,0,0,3,1,
JavaUtilsTest,1,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,1,1,1,
JVMStabilityInspectorTest,1,6,0,1,4,0,0,0,0,0,6,4,0,127,0,0,0,0,5,0,0,5,1,
MonotonicClockTest,5,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0,1,5,1,
NativeLibraryTest,1,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,2,1,
