NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
NewOrderTransaction,2.25,23,0,0.0,10,1,1,1.0,6,1,55,6,2010,381,4,0,23,1,0,12,2,0.4,27,0.67,0.021192672521919843,False
DeliveryTransaction,2.45,15,0,0.0,12,1,1,1.5,5,1,45,8,2010,285,3,0,13,1,0,11,2,0.29,27,0.64,0.06419745902836795,False
Stock,1.1,1,0,1.0,2,4,4,0.0,1,0,4,1,0,90,0,0,10,3,0,10,0,0.25,11,0.6,0.13500135055260692,False
OrderStatusTransaction,3.1,22,0,0.0,9,0,0,2.0,7,1,45,5,3010,411,2,0,33,1,0,10,2,0.36,31,0.6,0.014094080118034171,False
PaymentTransaction,2.8,25,0,0.0,9,0,0,1.5,6,1,62,5,10,439,2,0,20,1,0,10,2,0.25,28,0.6,0.0270840563748247,False
Company,2.3,11,0,1.0,12,12,30,3.5,3,0,44,5,110,704,0,0,36,12,0,37,7,0.13,85,0.58,0.06115764189268413,True
StockLevelTransaction,2.67,7,0,0.0,10,0,0,0.5,5,1,24,5,2000,220,1,0,13,1,0,9,2,0.25,24,0.56,0.030368684242699017,False
Transaction,0.62,1,0,1.0,1,1,3,0.0,0,0,1,1,0,121,0,0,18,0,6,13,9,0.04,8,0.55,0.25054987655485783,False
TimerData,1.4,0,0,1.0,3,3,7,0.0,1,0,16,0,0,648,0,0,25,15,0,35,0,0.22,49,0.53,0.5290373532133433,False
TransactionLogBuffer,4.65,0,0,1.0,1,8,31,3.0,0,0,1,0,0,929,0,0,16,1,0,31,7,0.69,144,0.51,0.49280316901256566,False
MultiVMReporter,5.67,0,0,1.0,2,0,0,0.0,0,0,4,0,0,95,0,0,10,0,0,3,0,0.33,17,0.5,0.10595681639793719,False
Reporter,7.0,0,0,1.0,2,0,0,0.0,0,0,7,0,0,126,0,0,11,0,0,3,0,0.67,21,0.5,1,0
Table,5.75,1,0,1.0,1,2,2,0.0,1,0,1,1,0,129,0,0,7,0,0,4,0,0.0,23,0.5,0.03149884963840184,False
TransactionManager,3.42,22,0,1.0,5,2,3,1.0,2,0,46,3,10,328,0,0,14,2,0,12,1,0.31,41,0.5,0.05859994580715548,True
Controller,5.75,5,0,1.0,4,0,0,0.5,0,0,14,1,0,182,0,0,9,0,0,4,0,0.83,23,0.5,0.07418328205972949,False
DeliveryHandler,1.0,2,0,1.0,1,1,1,0.0,0,0,2,1,0,24,0,0,2,0,0,2,0,1.0,2,0.5,0.07389408099688484,False
JBBLogFormatter,1.0,0,0,1.0,0,0,0,0.0,0,2,0,0,0,23,0,0,3,0,0,2,0,1.0,2,0.5,0.05555555555555555,False
PrintLastSeq,2.0,0,0,1.0,1,0,0,0.0,0,0,3,0,0,20,0,0,1,0,0,1,0,1.0,2,0.5,1,0
SaveOutput,1.0,0,0,1.0,1,0,0,0.0,0,3,1,0,0,69,0,0,4,0,0,5,3,1.0,5,0.5,0.0522522882488115,False
Check,7.33,8,0,1.0,4,0,0,0.5,0,0,15,4,2000,115,0,0,1,0,0,3,0,1.0,22,0.5,0.11878785813628688,False
LoopBounds2,3.0,0,1,1.0,0,0,0,0.0,0,1,0,0,0,17,0,0,2,0,0,1,0,1.0,3,0.5,1,0
superClass,0.8,0,0,1.0,0,1,2,0.0,0,0,0,0,0,17,0,0,2,1,1,5,2,0.0,4,0.5,1,0
GraphImage,1.88,0,0,1.0,1,1,3,0.0,0,2,1,0,0,379,0,0,33,4,0,32,0,0.24,60,0.49,0.46796502055005923,False
Metrics,4.56,4,0,1.0,4,5,9,5.5,2,0,38,1,0,1184,0,0,34,4,1,34,18,0.21,155,0.47,0.3362430420650631,False
HTMLTableGraphGenerator3,2.11,0,0,1.0,1,0,0,0.5,0,0,1,0,0,326,0,0,34,4,0,28,0,0.1,59,0.45,0.06714178059042522,False
Result,2.0,4,0,1.0,3,2,10,0.5,0,0,10,1,1000,303,0,0,27,0,0,17,19,0.04,34,0.43,0.4549187633753307,False
