NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
VersionTest,1.1,0,0,1.0,1,0,0,0.0,0,0,8,0,0,74,0,0,0,0,0,10,0,0.0,11,1.0,1,0
CheckMonotonicallyIncreasingNumbers,4.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,57,0,0,0,0,0,3,0,1.0,12,1.0,1,0
FlowControlTest,2.71,0,3,1.0,0,0,0,0.0,0,1,0,0,0,130,2,0,2,0,0,7,0,0.8,19,1.0,1,0
mcast,3.6,0,0,1.0,1,1,1,0.0,0,0,2,0,0,194,0,0,9,0,0,5,0,0.33,18,1.0,1,0
Receiver,2.0,3,0,1.0,1,1,1,0.0,0,1,4,1,0,46,0,0,1,0,0,3,0,1.0,6,1.0,1,0
McastSender,2.0,2,0,1.0,2,0,0,0.0,0,1,3,1,0,22,0,0,0,0,0,2,0,1.0,4,1.0,1,0
UcastReceiver,2.5,2,0,1.0,2,0,0,0.5,0,1,2,2,2000,36,0,0,0,0,0,2,0,1.0,5,1.0,1,0
McastReceiverTest,5.5,0,0,1.0,0,0,0,0.0,0,0,0,0,0,106,0,0,0,0,0,2,0,0.0,11,1.0,1,0
ModClusterAdvertizeListener,6.5,0,0,1.0,0,0,0,0.5,0,0,0,0,0,96,0,0,0,0,0,2,0,1.0,13,1.0,1,0
MulticastTest,1.25,0,0,1.0,0,0,0,0.0,0,0,0,0,0,46,0,0,3,0,0,4,0,0.33,5,1.0,1,0
NioClientTest,2.6,0,0,1.0,1,0,0,0.0,0,0,1,0,0,115,0,0,4,0,0,5,0,0.0,13,1.0,1,0
Sender,2.0,2,0,1.0,1,0,0,0.0,0,1,2,1,0,41,0,0,5,0,0,2,0,1.0,4,1.0,1,0
ShmTest,6.5,0,0,1.0,0,0,0,0.5,0,0,0,0,0,83,0,0,4,0,0,2,0,0.0,13,1.0,1,0
UnicastTest,2.53,0,0,1.0,1,1,1,0.0,1,0,2,0,0,305,0,0,10,0,0,15,0,0.55,38,1.0,1,0
UnicastTestSharedLoopback,1.0,0,0,1.0,1,0,0,0.0,0,0,3,0,0,26,0,0,0,0,0,2,0,0.0,2,1.0,1,0
UnicastTestTcp,2.83,0,0,1.0,4,1,1,0.0,2,0,6,0,0,301,0,0,25,0,0,12,0,0.55,34,1.0,1,0
Acceptor,1.33,1,0,1.0,1,0,0,0.0,0,1,6,1,0,27,0,0,0,0,0,3,0,0.0,4,1.0,1,0
UnicastTestTcpSlow,3.0,3,0,1.0,6,0,1,0.0,1,0,15,1,0,335,0,0,24,0,0,11,0,0.67,33,1.0,1,0
RtReceiver,0.0,0,0,1.0,0,2,4,0.0,0,0,0,0,0,11,0,0,0,0,0,1,0,1.0,0,1.0,1,0
RtTransport,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,57,0,0,0,0,4,8,0,0.0,0,1.0,1,0
JGroupsTransport,2.17,0,3,1.0,1,0,0,0.0,2,1,1,0,0,115,0,0,6,0,0,12,0,0.13,26,1.0,1,0
NioTransport,2.0,0,0,1.0,1,0,0,0.0,3,0,1,0,0,118,0,0,9,0,0,9,0,0.11,18,1.0,1,0
Receiver,4.0,3,0,1.0,2,0,0,0.5,0,1,3,2,0,31,0,0,0,0,0,2,0,1.0,8,1.0,1,0
ServerTransport,2.09,0,2,1.0,7,0,0,0.0,2,1,8,0,0,98,0,0,7,0,0,11,0,0.11,23,1.0,1,0
TcpTransport,2.0,0,0,1.0,0,0,0,0.0,3,0,0,0,0,116,0,0,11,0,0,9,0,0.07,18,1.0,1,0
UdpPerf,1.56,0,0,1.0,2,2,2,0.0,1,0,2,0,0,200,0,0,11,0,0,9,0,0.29,14,1.0,1,0
Sender,3.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,36,0,0,3,0,0,2,0,1.0,6,1.0,1,0
1,1.0,0,1,1.0,0,0,0,0.0,0,1,0,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
2,1.0,0,1,1.0,0,0,0,0.0,0,1,0,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
ProgrammaticChat,2.0,2,0,1.0,2,0,0,0.0,0,0,2,2,0,55,0,0,0,0,0,1,0,1.0,2,1.0,1,0
