NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
IntExpr,1,0,2,0.33,1,0,0,0,0,2,1,0,0,21,0,0,1,0,0,4,0,0.33,4,1
Key,2.4,1,2,1,13,1,2,0,4,2,31,1,0,227,2,0,4,0,0,5,0,0.9,12,1
KeyCall,5.75,1,0,0.11,9,0,0,0,3,3,12,1,0,182,1,0,4,0,0,4,0,1,23,1
LastCall,1.5,0,1,0,2,0,0,0,0,3,2,0,0,29,0,0,0,0,0,4,0,0,6,1
SimpleAttributeValue,1,0,0,1,1,3,3,0,0,3,1,0,0,43,0,0,1,0,0,5,0,0.17,5,1
LocalNameCall,1,0,0,1,0,0,0,0,0,4,0,0,0,34,0,0,0,0,0,3,0,1,3,1
Message,2.67,1,2,1,4,0,0,0.5,0,2,5,1,0,107,0,0,1,0,0,3,0,0.33,8,1
NameCall,1,0,0,1,0,0,0,0,0,4,0,0,0,28,0,0,0,0,0,3,0,1,3,1
NamespaceAlias,1,1,2,1,3,0,0,0,0,2,3,1,0,23,0,0,2,0,0,3,0,0,3,1
NamespaceUriCall,1,0,0,1,0,0,0,0,0,4,0,0,0,29,0,0,0,0,0,3,0,1,3,1
NotCall,1,0,0,0.05,1,0,0,0,0,3,1,0,0,22,0,0,0,0,0,3,0,0,3,1
NumberCall,2,0,0,0.11,2,0,0,0,0,3,5,0,0,32,0,0,0,0,0,3,0,1,6,1
RelativeLocationPath,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,2,2,0,0,0,1
ParentPattern,2,1,0,1,4,0,0,0.5,2,5,6,1,0,98,0,0,2,0,0,8,0,0.71,16,1
PositionCall,1.67,0,1,0,2,0,0,0,0,3,2,0,0,26,0,0,0,0,0,3,0,0,5,1
ProcessingInstruction,2.67,0,2,1,9,0,0,0,1,2,16,0,0,85,0,0,2,0,0,3,0,1,8,1
ProcessingInstructionPattern,2,1,6,0.5,6,0,0,0,0,6,10,1,0,111,0,0,2,0,0,7,0,0.4,14,1
RealExpr,1,0,2,0.33,1,0,0,0,0,2,1,0,0,21,0,0,1,0,0,4,0,0.33,4,1
RelationalExpr,4.64,2,1,0.67,11,0,0,0.5,1,2,30,2,0,224,3,0,3,0,0,11,0,1,51,1
RoundCall,1,0,0,0.05,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,2,0,1,2,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
2,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
3,2,0,0,1,1,0,0,0,0,1,1,0,0,13,0,0,0,0,0,1,0,1,2,1
4,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
5,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
6,2,0,0,1,1,0,0,0,0,1,2,0,0,11,0,0,0,0,0,1,0,1,2,1
7,2,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,2,1
8,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
StartsWithCall,2,0,0,0.11,4,0,0,0,1,3,6,0,0,49,0,0,2,0,0,3,0,1,6,1
StringCall,2.33,0,0,0.11,4,0,0,0,0,3,8,0,0,37,0,0,0,0,0,3,0,1,7,1
StringLengthCall,1.5,0,0,0.11,2,0,0,0,0,3,4,0,0,17,0,0,0,0,0,2,0,1,3,1
TransletOutput,2.75,2,2,1,10,0,0,0,1,2,14,2,0,98,0,0,2,0,0,4,0,1,11,1
UnaryOpExpr,1.29,0,0,0.33,4,0,0,0,1,2,8,0,0,52,0,0,1,0,0,7,0,1,9,1
UnionPathExpr,3,2,0,0.33,6,0,0,0,1,2,9,1,0,99,0,0,4,0,0,6,0,0.4,18,1
UnparsedEntityUriCall,1.33,0,0,0.05,3,0,0,0,1,3,3,0,0,28,0,0,1,0,0,3,0,1,4,1
ValueOf,3.5,0,2,1,8,0,0,0,1,2,15,0,0,91,0,0,3,0,0,4,0,1,14,1
VariableRef,5,2,0,1,4,0,0,0.5,0,3,12,1,0,51,0,0,0,0,0,2,0,1,10,1
CUP$XPathParser$actions,106,8,0,1,63,1,1,3,1,0,116,5,110,2385,0,0,1,0,0,2,0,1,212,1
XslElement,4.57,4,2,1,11,1,1,0.5,1,2,28,3,0,253,2,0,5,0,0,7,0,0.67,32,1
XPathFunctionResolverImpl,7,0,0,1,6,0,0,0,0,0,13,0,0,75,0,0,0,0,0,3,0,0,21,1
ExpressionContext,0,0,0,1,0,7,11,0,0,0,0,0,0,62,0,0,0,0,1,7,0,0,0,1
ExpressionVisitor,2.5,2,1,1,5,0,0,0,1,1,5,2,0,37,0,0,1,0,0,2,0,1,5,1
ExtensionHandler,0.43,0,0,1,1,3,6,0,0,0,2,0,0,100,0,0,2,0,5,7,0,0,3,1
ExtensionHandlerExsltFunction,3.25,5,0,0,14,0,0,1,2,1,18,3,1,155,1,0,3,0,0,8,0,0.05,26,1
ExtensionHandlerGeneral,4,4,0,0,12,0,0,0.5,0,1,19,3,0,311,0,0,10,0,0,6,0,0,24,1
ExtensionHandlerJava,1,0,0,0,0,0,0,0,0,1,0,0,0,63,2,0,2,0,2,3,0,1,3,1
ExtensionHandlerJavaClass,9.17,5,0,1,9,0,0,3,2,2,21,3,101,399,0,0,2,0,0,6,0,0.6,55,1
ExtensionHandlerJavaPackage,8,5,0,1,11,0,0,4,0,2,24,3,101,401,0,0,0,0,0,6,0,0.6,48,1
1,1.33,0,0,1,1,0,0,0,0,1,1,0,0,20,0,0,1,0,0,3,0,0.33,4,1
XPathFunctionImpl,1.67,0,0,1,1,0,0,0,1,0,1,0,0,43,0,0,2,0,0,3,0,0,5,1
ConnectionPoolManager,1.8,0,0,1,3,2,3,0,0,0,4,0,0,89,0,0,1,0,0,5,0,1,9,1
ConnectionPool,0,0,0,1,0,3,11,0,0,0,0,0,0,122,0,0,0,0,2,14,0,0,0,1
CharacterNodeHandler,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1
ObjectArray,1.71,1,0,1,1,2,5,0,2,0,2,1,0,168,0,0,4,0,0,7,0,0.6,12,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
2,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
3,2,0,0,1,1,0,0,0,0,1,1,0,0,13,0,0,0,0,0,1,0,1,2,1
4,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
5,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
6,2,0,0,1,1,0,0,0,0,1,2,0,0,11,0,0,0,0,0,1,0,1,2,1
7,2,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,2,1
8,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
AbsPathChecker,1.67,0,2,1,1,1,1,0,0,1,1,0,0,45,1,0,1,0,0,3,0,1,5,1
XSLTVisitable,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,72,1,0,1,0,1
XSLTVisitor,1,0,0,1,0,6,7,0,0,1,0,0,0,83,8,0,0,0,1,8,0,0,8,1
LiteralElementAttributes,3.11,5,0,1,4,0,0,0.5,0,0,6,3,0,163,0,0,1,0,0,9,0,0.43,28,1
NumberFormatStringTokenizer,3,0,0,1,0,1,1,0,0,0,0,0,0,126,0,0,3,0,0,7,0,1,21,1
TemplateWalker,5,5,0,1,3,0,0,0,1,0,5,3,0,51,0,0,4,0,0,2,0,1,10,1
KeyManager,5.5,2,0,1,4,1,1,0,1,0,7,2,0,66,0,0,1,0,0,2,0,1,11,1
ClonerToResultTree,12,0,0,1,4,0,0,1,0,0,23,0,0,165,0,0,0,0,0,1,0,1,12,1
MsgMgr,1.42,1,0,1,2,10,11,0,1,0,3,1,0,263,0,0,1,0,0,12,0,0.11,17,1
SerializerSwitcher,6,1,0,1,5,0,0,0.5,0,0,13,1,0,148,0,0,0,0,0,3,0,0.33,18,1
TransformerClient,0,0,0,1,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,1
TransformState,0,0,0,1,0,0,0,0,0,0,0,0,0,72,7,0,0,0,1,7,0,0,0,1
TraceManager,2.78,2,0,1,11,31,43,0,1,0,17,1,0,335,0,0,2,0,0,18,0,0.67,50,1
TraceListenerEx3,0,0,0,1,0,1,4,0,0,0,0,0,0,19,2,0,0,0,1,2,0,0,0,1
TraceListener,0,0,0,1,0,1,3,0,0,0,0,0,0,26,0,0,0,0,4,3,0,0,0,1
TraceListenerEx,0,0,0,1,0,1,1,0,0,0,0,0,0,13,1,0,0,0,3,1,0,1,0,1
TraceListenerEx2,0,0,0,1,0,1,1,0,0,0,0,0,0,9,1,0,0,0,2,1,0,1,0,1
XSLMessages,3,0,0,1,0,0,0,0,0,2,0,0,0,50,2,0,2,0,0,2,0,1,6,1
Serializer,0,0,0,1,0,0,0,0,0,0,0,0,0,102,0,0,0,0,1,9,0,0,0,1
SerializerFactory,1,0,0,1,2,0,0,0,0,0,2,0,0,108,0,0,0,0,0,2,0,1,2,1
SerializerWrapper,1.1,0,0,1,2,0,0,0,2,0,10,0,0,56,0,0,2,0,0,10,0,1,11,1
DOMSerializerWrapper,1,0,0,1,0,0,0,0,1,0,0,0,0,11,0,0,1,0,0,2,0,1,2,1
SerializerUtils,4.5,1,0,1,7,0,0,0,0,0,27,1,0,175,0,0,0,0,0,6,0,0.27,27,1
ExsltCommon,3.5,1,0,1,2,0,0,0,0,0,2,1,0,65,0,0,0,0,0,2,0,0,7,1
ExsltMath,2.39,0,0,1,1,0,0,0,0,1,3,0,0,334,18,0,7,0,0,18,0,0.02,43,1
ExsltSets,4.17,0,0,1,2,0,0,1,0,1,9,0,0,185,6,0,0,0,0,6,0,0,25,1
ExsltStrings,2.89,0,0,1,2,0,0,0,0,1,4,0,0,281,9,0,0,0,0,9,0,0.03,26,1
Extensions,1.91,0,0,1,9,0,0,0,0,0,23,0,0,323,0,0,0,0,0,11,0,0,21,1
NodeInfo,3,2,0,1,3,0,0,0,0,0,4,1,0,191,0,0,0,0,0,8,0,0,24,1
PipeDocument,6.5,4,0,1,10,0,0,0.5,0,0,15,3,0,148,0,0,0,0,0,2,0,0,13,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
2,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
3,2,0,0,1,1,0,0,0,0,1,1,0,0,13,0,0,0,0,0,1,0,1,2,1
4,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
5,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
6,2,0,0,1,1,0,0,0,0,1,2,0,0,11,0,0,0,0,0,1,0,1,2,1
7,2,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,2,1
8,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
Process,25.33,8,0,1,13,0,0,2.5,0,0,28,3,100,888,0,0,0,0,0,6,0,0.4,152,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
2,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,1,1,1
3,2,0,0,1,1,0,0,0,0,1,1,0,0,13,0,0,0,0,0,1,0,1,2,1
4,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
5,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
6,2,0,0,1,1,0,0,0,0,1,2,0,0,11,0,0,0,0,0,1,0,1,2,1
7,2,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,2,1
8,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
Version,1.25,0,0,1,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,8,0,0,10,1
