NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
CurrentCall,1.0,0,1,0.0,1,0,0,0.0,0,3,1,0,0,9,0,0,0,0,0,2,0,1.0,2,1.0,0.25,False
DecimalFormatting,6.0,2,2,1.0,8,1,1,0.5,1,2,15,2,0,175,1,0,3,0,0,4,0,0.5,24,1.0,0.25000043025443813,False
DocumentCall,5.33,1,0,0.11,6,0,0,0.0,2,3,12,1,0,110,0,0,3,0,0,3,0,1.0,16,1.0,0.086231015543994,False
ElementAvailableCall,1.6,2,2,0.05,5,0,0,0.0,0,3,7,1,0,52,1,0,0,0,0,5,0,0.0,8,1.0,0.19999999999999996,False
LiteralExpr,1.12,0,2,0.33,1,5,5,0.0,0,2,1,0,0,51,0,0,2,2,0,8,0,0.2,9,1.0,0.0964541770889113,False
Fallback,1.6,0,2,1.0,1,1,3,0.0,0,2,1,0,0,47,2,0,1,0,0,5,0,0.6,8,1.0,0.32000000000000084,False
FilterExpr,2.43,1,0,0.33,7,0,0,0.0,1,2,12,1,0,173,1,0,2,0,0,7,0,0.93,17,1.0,0.1111111111111111,False
FloorCall,1.0,0,0,0.05,0,0,0,0.0,0,3,0,0,0,11,0,0,0,0,0,2,0,1.0,2,1.0,0.1111111111111111,False
ForEach,4.2,1,2,1.0,10,0,0,0.5,2,2,25,1,0,138,1,0,2,0,0,5,0,0.6,21,1.0,0.02253763050901014,False
Variable,5.0,1,0,0.58,9,1,1,0.0,0,3,16,1,0,148,2,0,0,0,0,5,0,0.6,25,1.0,0.12057143431259733,False
FormatNumberCall,3.67,1,0,0.11,7,0,0,0.0,2,3,8,1,0,63,0,0,4,0,0,3,0,1.0,11,1.0,0.03678678678678688,False
FunctionAvailableCall,4.0,8,2,0.05,7,0,0,0.0,1,3,10,6,0,143,1,0,4,0,0,7,0,0.13,28,1.0,0.0539414516313761,False
GenerateIdCall,1.5,0,0,0.11,1,0,0,0.0,0,3,1,0,0,18,0,0,0,0,0,2,0,1.0,3,1.0,0.1111111111111111,False
If,2.5,0,2,1.0,6,0,0,0.0,1,2,12,0,0,72,0,0,2,0,0,4,0,1.0,10,1.0,1,0
SourceLoader,0.0,0,0,1.0,0,2,2,0.0,0,0,0,0,0,14,0,0,0,0,2,1,0,1.0,0,1.0,1,0
IntExpr,1.0,0,2,0.33,1,0,0,0.0,0,2,1,0,0,21,0,0,1,0,0,4,0,0.33,4,1.0,0.25,False
Key,2.4,1,2,1.0,13,1,2,0.0,4,2,31,1,0,227,2,0,4,0,0,5,0,0.9,12,1.0,0.09349953644416961,False
KeyCall,5.75,1,0,0.11,9,0,0,0.0,3,3,12,1,0,182,1,0,4,0,0,4,0,1.0,23,1.0,0.17313965866631512,False
LastCall,1.5,0,1,0.0,2,0,0,0.0,0,3,2,0,0,29,0,0,0,0,0,4,0,0.0,6,1.0,0.25,False
SimpleAttributeValue,1.0,0,0,1.0,1,3,3,0.0,0,3,1,0,0,43,0,0,1,0,0,5,0,0.17,5,1.0,0.06611570247933882,False
LocalNameCall,1.0,0,0,1.0,0,0,0,0.0,0,4,0,0,0,34,0,0,0,0,0,3,0,1.0,3,1.0,0.05227308281434825,False
Message,2.67,1,2,1.0,4,0,0,0.5,0,2,5,1,0,107,0,0,1,0,0,3,0,0.33,8,1.0,1,0
NameCall,1.0,0,0,1.0,0,0,0,0.0,0,4,0,0,0,28,0,0,0,0,0,3,0,1.0,3,1.0,0.04513845110941034,False
NamespaceAlias,1.0,1,2,1.0,3,0,0,0.0,0,2,3,1,0,23,0,0,2,0,0,3,0,0.0,3,1.0,0.19322704372397062,False
NamespaceUriCall,1.0,0,0,1.0,0,0,0,0.0,0,4,0,0,0,29,0,0,0,0,0,3,0,1.0,3,1.0,0.03329965656565618,False
