NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
CachedObjectComparator,1.8,0,0,1.0,1,1,1,0.0,0,0,2,0,0,50,1,0,5,1,0,5,0,0.0,9,0.5,1,0
Crypto,4.0,0,0,1.0,3,5,10,0.0,0,0,3,0,0,249,0,0,9,0,0,7,6,1.0,28,0.5,0.4252589916633649,False
DataSpaceManagerSimple,1.67,3,0,1.0,5,0,0,0.5,3,0,19,1,0,160,0,0,6,4,0,15,6,0.1,25,0.5,0.014800540642226833,True
FileCanonicalizationException,1.0,0,0,1.0,0,0,0,0.0,0,3,0,0,0,41,0,0,1,1,0,3,0,0.0,3,0.5,1,0
FileSecurityException,1.0,0,0,1.0,0,0,0,0.0,0,3,0,0,0,40,0,0,1,1,0,3,0,0.0,3,0.5,1,0
UnexpectedEndOfFileException,1.0,0,0,1.0,0,0,0,0.0,0,3,0,0,0,41,0,0,1,1,0,3,0,0.0,3,0.5,1,0
UnexpectedFileIOException,1.0,0,0,1.0,0,0,0,0.0,0,3,0,0,0,40,0,0,1,1,0,3,0,0.0,3,0.5,1,0
UnexpectedFileNotFoundException,1.0,0,0,1.0,0,0,0,0.0,0,3,0,0,0,41,0,0,1,1,0,3,0,0.0,3,0.5,1,0
WrongLengthException,1.0,0,0,1.0,0,0,0,0.0,0,3,0,0,0,39,0,0,1,1,0,3,0,0.0,3,0.5,1,0
TextFileReader16,2.33,2,5,1.0,6,0,0,0.0,0,1,8,2,0,81,0,0,0,2,0,6,0,0.1,14,0.5,0.06250000000000003,False
OdbcPacketInputStream,2.5,1,0,1.0,2,1,2,0.0,0,3,2,1,0,217,0,0,2,0,0,10,1,0.0,25,0.5,0.02543032925209337,False
ClientConnectionHTTP,1.2,2,7,0.83,4,0,0,0.0,0,1,12,1,0,134,0,0,6,0,0,10,0,0.11,12,0.5,0.016525415363211223,False
SimpleName,1.33,0,0,1.0,1,15,27,0.0,0,0,1,0,0,36,0,0,2,1,1,6,2,0.5,8,0.5,1,0
ExpressionArrayAggregate,5.08,1,7,0.67,17,0,0,3.0,4,1,35,1,0,381,0,0,6,2,0,13,6,0.33,66,0.5,0.07490543199299615,False
