NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
ShortList,0,0,0,1,0,3,3,0,0,0,0,0,0,31,0,0,0,0,1,3,0,0,0,1
LSInputList,0,0,0,1,0,2,2,0,0,0,0,0,0,19,0,0,0,0,1,2,0,0,0,1
XSDecimal,0,0,0,1,0,1,1,0,0,0,0,0,0,37,0,0,0,0,1,6,0,0,0,1
XSDateTime,0,0,0,1,0,1,1,0,0,0,0,0,0,85,0,0,0,0,1,14,0,0,0,1
XSFloat,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,1,1,0,1,0,1
XSDouble,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,1,1,0,1,0,1
ByteList,0,0,0,1,0,1,1,0,0,0,0,0,0,35,0,0,0,0,3,4,0,0,0,1
ObjectList,0,0,0,1,0,2,7,0,0,0,0,0,0,31,0,0,0,0,5,3,0,0,0,1
XSQName,0,0,0,1,0,1,1,0,0,0,0,0,0,12,0,0,0,0,1,2,0,0,0,1
SchemaDVFactory,0.38,0,0,1,2,4,5,0,0,0,3,0,0,105,0,0,1,0,5,8,0,0,3,1
ValidationContext,0,0,0,1,0,10,15,0,0,0,0,0,0,33,0,0,0,0,5,12,0,0,0,1
DTDDVFactory,0.6,0,0,1,2,2,2,0,0,0,3,0,0,53,0,0,1,0,2,5,0,0,3,1
DatatypeValidator,0,0,0,1,0,1,1,0,0,0,0,0,0,12,0,0,0,0,10,1,0,1,0,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,1,1,1
2,1,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,1,1,1
3,2,0,0,1,1,0,0,0,0,1,1,0,0,12,0,0,0,0,0,1,0,1,2,1
4,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
5,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
6,2,0,0,1,1,0,0,0,0,1,2,0,0,11,0,0,0,0,0,1,0,1,2,1
7,2,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,2,1
8,1,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,1,1,1
EntityState,0,0,0,1,0,1,2,0,0,0,0,0,0,17,0,0,0,0,6,2,0,0,0,1
SymbolTable,3,0,0,1,1,36,63,0,2,0,1,0,0,423,0,0,11,0,3,16,0,0.69,48,1
XMLGrammarPoolImpl,2.64,4,0,1,3,2,5,0,1,0,8,1,0,325,6,0,5,0,4,14,0,0.33,37,1
ParserConfigurationSettings,2.3,1,0,1,1,4,11,0,1,0,2,1,0,247,4,0,6,0,20,10,0,0.18,23,1
MessageFormatter,0,0,0,1,0,8,9,0,0,0,0,0,0,25,0,0,0,0,4,1,0,1,0,1
AugmentationsImpl,1.14,0,0,1,1,0,0,0,1,0,7,0,0,251,1,0,1,0,0,7,0,1,8,1
ErrorHandlerProxy,1.2,1,0,1,2,0,0,0,0,0,5,1,0,36,0,0,0,0,2,5,0,0.5,6,1
IntStack,1.44,0,0,1,0,4,18,0,1,0,0,0,0,86,0,0,2,0,0,9,0,0.86,13,1
SynchronizedSymbolTable,1,0,0,0,0,0,0,0,1,1,0,0,0,98,0,0,1,0,0,7,0,1,7,1
AugmentationsItemsContainer,0,0,0,1,0,1,5,0,0,0,0,0,0,9,0,0,0,0,2,7,0,0,0,1
LargeContainer,1,0,0,1,0,1,1,0,1,1,0,0,0,46,1,0,1,0,0,9,0,0.54,9,1
DatatypeMessageFormatter,7,0,0,1,0,0,0,0,0,0,0,0,0,67,0,0,1,0,0,1,0,1,7,1
DefaultErrorHandler,1.33,3,0,1,1,0,0,0,0,0,3,1,0,82,0,0,1,0,0,6,0,0,8,1
DOMErrorTypeMap,1,0,0,1,0,0,0,0,1,0,0,0,0,132,0,0,1,0,0,2,0,1,2,1
DOMUtil,3.54,6,0,1,5,0,0,2.5,0,0,9,3,1100,856,0,0,0,0,0,50,0,0.26,177,1
EncodingMap,1,0,0,1,0,0,0,0,1,0,0,0,0,558,0,0,2,0,0,7,0,0.4,7,1
LocatorProxy,1,0,0,1,1,0,0,0,1,0,6,0,0,55,0,0,1,0,0,7,0,1,7,1
Prefixes,1.5,1,0,1,1,0,0,0,1,0,1,1,0,41,0,0,3,0,0,4,0,1,6,1
SAXMessageFormatter,7,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1,0,1,7,1
ShadowedSymbolTable,1.4,0,0,0,0,0,0,0,1,1,0,0,0,87,0,0,1,0,0,5,0,1,7,1
SoftReferenceSymbolTable,3.6,8,9,0.77,3,0,0,0.5,2,1,8,3,1100,421,0,0,2,0,0,15,0,0.82,54,1
ArrayFillingCodeGenerator,11,0,0,1,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,1,0,1,11,1
XJavac,6,0,0,1,0,0,0,0,0,4,0,0,0,119,0,0,0,0,0,3,0,0,18,1
XMLErrorHandler,0,0,0,1,0,2,4,0,0,0,0,0,0,72,0,0,0,0,9,3,0,0,0,1
XMLParserConfiguration,0,0,0,1,0,21,70,0,0,0,0,0,0,175,17,0,0,0,22,19,0,0,0,1
XMLEntityResolver,0,0,0,1,0,3,3,0,0,0,0,0,0,21,0,0,0,0,7,1,0,1,0,1
XMLComponent,0,0,0,1,0,12,39,0,0,0,0,0,0,93,0,0,0,0,25,7,0,0,0,1
XMLComponentManager,0,0,0,1,0,17,20,0,0,0,0,0,0,27,0,0,0,0,26,2,0,0,0,1
XMLDocumentSource,0,0,0,1,0,16,21,0,0,0,0,0,0,13,0,0,0,0,21,2,0,0,0,1
XMLPullParserConfiguration,0,0,0,1,0,1,1,0,0,0,0,0,0,50,3,0,0,0,17,3,0,0,0,1
XMLDTDSource,0,0,0,1,0,9,9,0,0,0,0,0,0,13,0,0,0,0,11,2,0,0,0,1
XMLDTDContentModelSource,0,0,0,1,0,5,5,0,0,0,0,0,0,13,0,0,0,0,7,2,0,0,0,1
XMLDocumentScanner,0,0,0,1,0,6,6,0,0,0,0,0,0,33,2,0,0,0,5,2,0,0,0,1
XMLDTDScanner,0,0,0,1,0,3,3,0,0,0,0,0,0,57,3,0,0,0,2,3,0,0,0,1
RevalidationHandler,0,0,0,1,0,1,1,0,0,0,0,0,0,13,1,0,0,0,5,1,0,1,0,1
ArrayEnumeration,1.33,0,0,1,0,0,0,0,1,0,0,0,0,52,0,0,2,0,0,3,0,1,4,1
ExternalSubsetResolver,0,0,0,1,0,2,2,0,0,0,0,0,0,22,1,0,0,0,1,1,0,1,0,1
XMLDocumentScannerImpl,4,5,2,0.2,13,3,4,2,8,2,27,3,1101,1286,0,0,34,0,3,14,0,0.15,56,1
XML11EntityScanner,22.31,10,12,0.75,9,0,0,6.5,0,1,29,3,100,1383,0,0,0,0,0,13,0,1,290,1
Dispatcher,0,0,0,1,0,1,1,0,0,0,0,0,0,22,0,0,0,0,8,1,0,1,0,1
XMLScanner,8.4,5,0,1,12,8,12,8,7,0,54,3,110,1449,4,0,33,1,7,30,0,0.29,252,1
XMLEntityHandler,0,0,0,1,0,2,4,0,0,0,0,0,0,39,0,0,0,0,7,2,0,0,0,1
ElementStack,1.75,1,0,1,1,3,11,0,1,0,2,1,0,72,0,0,2,0,0,4,0,1,7,1
FragmentContentDispatcher,7.5,18,0,1,13,0,0,3,0,0,58,6,1110,296,0,0,0,0,3,6,0,0.1,45,1
XMLDeclDispatcher,6,17,0,1,13,0,0,1,0,0,35,7,1010,85,0,0,0,0,0,1,0,1,6,1
PrologDispatcher,34,19,0,1,9,0,0,1,0,0,48,4,1010,188,0,0,0,0,0,1,0,1,34,1
DTDDispatcher,19,23,0,1,13,0,0,0.5,0,0,44,6,1001,137,0,0,0,0,0,1,0,1,19,1
TrailingMiscDispatcher,19,7,0,1,7,0,0,1,0,0,29,3,1010,142,0,0,0,0,0,1,0,1,19,1
XMLEntityDescription,0,0,0,1,0,2,2,0,0,0,0,0,0,17,2,0,0,0,1,2,0,0,0,1
1,1,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,1,1
XMLVersionDetector,3.4,14,0,1,9,4,4,1.5,5,0,30,4,1010,199,0,0,11,0,0,5,0,0.5,17,1
