NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
2,1.0,0,0,1.0,0,0,0,0.0,0,4,0,0,0,10,0,0,1,0,0,2,0,0.0,2,1.0,1,0
XMLTreeCellRenderer,7.5,5,0,1.0,3,0,0,0.5,0,5,6,2,0,49,0,0,1,0,0,2,0,1.0,15,1.0,1,0
3,1.0,0,0,1.0,1,0,0,0.0,0,1,1,0,0,8,0,0,0,0,0,1,0,1.0,1,1.0,1,0
4,1.0,0,0,1.0,0,0,0,0.0,0,4,0,0,0,10,0,0,1,0,0,2,0,0.0,2,1.0,1,0
5,1.0,0,0,1.0,0,0,0,0.0,0,1,0,0,0,5,0,0,0,0,0,1,0,1.0,1,1.0,1,0
TreeViewer,1.0,0,0,1.0,1,0,0,0.0,0,0,1,0,0,25,0,0,0,0,0,3,0,1.0,3,1.0,0.03524024015088593,False
IndentingWriter,1.33,0,0,1.0,0,1,25,0.0,0,2,0,0,0,75,0,0,5,0,0,9,0,0.32,12,1.0,1,0
Stylesheet,2.0,0,0,1.0,4,0,0,0.0,0,0,7,0,0,41,0,0,0,0,0,1,0,1.0,2,1.0,1,0
XIncludeAwareParserConfiguration,3.38,7,1,0.14,10,0,0,1.0,4,2,17,4,1,254,0,0,11,0,5,8,0,1.0,27,1.0,0.10588151973476402,False
LocatorProxy,1.0,0,0,1.0,1,0,0,0.0,1,0,6,0,0,52,0,0,1,0,0,7,0,1.0,7,1.0,0.020408163265306135,False
XMLParser,1.0,0,0,1.0,1,1,1,0.0,1,0,2,0,0,77,0,0,4,0,18,3,0,0.0,3,1.0,0.1111111111111111,False
SynchronizedGrammarPool,1.0,0,0,1.0,0,0,0,0.0,1,0,0,0,0,136,0,0,1,0,0,7,0,1.0,7,1.0,1,0
ShadowedGrammarPool,1.5,0,0,0.0,0,0,0,0.0,1,1,0,0,0,88,0,0,1,0,0,6,0,0.3,9,1.0,1,0
SecureProcessingConfiguration,4.93,8,0,0.31,8,3,5,4.0,3,3,19,4,1100,863,0,0,34,0,0,14,0,0.16,69,1.0,0.4088149138187417,False
InputStreamMonitor,1.67,0,0,1.0,1,0,0,0.0,0,2,1,0,0,28,0,0,2,0,0,3,0,1.0,5,1.0,1,0
ReaderMonitor,1.67,0,0,1.0,1,0,0,0.0,0,2,1,0,0,28,0,0,2,0,0,3,0,1.0,5,1.0,1,0
